title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
I Dreamed of Africa,Romance-Drama-Adventure,en,Inspired by the true story of indomitable Kuki Gallmann the film tells of a beautiful and inquisitive woman who had the courage to escape from her comfortable yet monotonous life in Italy to start anew in the African wilderness with her son Emanuele and her new husband Paolo. Gallmann faces great danger there but eventually becomes a celebrated conservationist.,6.085,Columbia Pictures,2000-05-05,17.341871082580436,114.0,Released,Sometimes the adventure of a lifetime becomes life itself.,5.6,64.0,africa,0.0,United States of America,English,3.3712,1.1416,1.0785,PG-13,16.482761472621732
Battlefield Earth,Action-Adventure-Comedy-Science Fiction,en,In the year 3000 man is no match for the Psychlos a greedy manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl the Psychlos are stripping Earth clean of its natural resources using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured it is up to Tyler to save mankind.,12.130999999999998,Morgan Creek Productions-Franchise Pictures-JTP Films-Battlefield Productions-Warner Bros. Pictures,2000-05-12,18.105969999112666,118.0,Released,Take Back The Planet,3.24,701.0,based on novel or book-post-apocalyptic future-dystopia-mining-fighter jet-alien invasion-scientology-cavemen-bureaucrat-city ruin,0.0,"Canada, United States of America","English, French",7.7213,2.2697,4.019,PG-13,17.182806387950748
Center Stage,Drama-Music,en,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,12.844,Columbia Pictures,2000-05-12,17.182806387950748,115.0,Released,Life doesn't hold tryouts.,6.938,296.0,new york city-competition-dancer-dance-ball-career-ballet dancer-entrance examination-ballet-dance teacher,0.0,United States of America,English,2.6397,9.6725,0.7604,PG-13,17.0883418883891
Hamlet,Drama,en,Modern day adaptation of Shakespeare's immortal story about Hamlet's plight to avenge his father's murder in New York City.,7.27,Miramax-double A Films,2000-05-12,14.508657738524219,112.0,Released,"Passion, Betrayal, Revenge, A hostile takeover is underway.",5.8,110.0,new york city-loss of loved one-father murder-father-video store-shakespeare in modern dress-hamlet-corporation,0.0,United States of America,English,5.9647,2.8023,1.5276,R,14.265789044411829
Shadow of the Vampire,Drama-Horror,en,"Director F.W. Murnau makes a Faustian pact with a vampire to get him to star in his 1922 film ""Nosferatu.""",9.436,BBC Films-Saturn Films-Long Shot Pictures-Pilgrim Films,2000-05-15,15.89495209964411,92.0,Released,An Unspeakable Horror. A Creative Genius. Captured For Eternity.,6.7,468.0,movie business-vampire-nosferatu,0.0,"Luxembourg, United Kingdom, United States of America","English, German",4.1479,4.9542,2.7868,R,15.929234799506926
Road Trip,Comedy-Adventure,en,From the director of the Hangover trilogy and Joker Road Trip is a raunchy college comedy classic.  After an Ithaca college student films his one-night stand with a beautiful sorority girl he discovers one of his friends has accidentally mailed the homemade porn tape to his girlfriend. In a frenzy he must borrow a car and hit the road in a desperate bid to intercept the tape.  Featuring a talented cast that includes Breckin Meyer Rachel Blanchard Seann William Scott Amy Smart Fred Ward Tom Green Anthony Rapp Andy Dick and Ethan Suplee.,19.999,DreamWorks Pictures-The Montecito Picture Company,2000-05-19,16.588099280204055,93.0,Released,The greatest college tradition of all.,6.2,1603.0,college-sexism-sperm bank-politics-blonde-road trip-crude humor-sorority-politically incorrect-university-cross country-stoner-sperm donor-school bus-losing money-male virgin-dorm room-sex comedy-sex tape-young adult,0.0,United States of America,English,2.3558,2.3514,1.0787,R,18.600952518043083
Dinosaur,Animation-Family-Adventure,en,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,62.622,Walt Disney Pictures-Walt Disney Feature Animation-The Secret Lab,2000-05-19,18.663626922562756,82.0,Released,Discover a world you've only imagined.,6.534,2455.0,cataclysm-asteroid-leader-villain-comet-migration-prehistory-prehistoric creature-dinosaur-birth-death-nesting grounds-cavern-lemur-mesozoic,0.0,United States of America,English,1.7329,2.0917,1.6078,PG,19.68550796863021
Mission: Impossible II,Adventure-Action-Thriller,en,With computer genius Luther Stickell at his side and a beautiful thief on his mind agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission should Hunt choose to accept it plunges him into the center of an international crisis of terrifying magnitude.,36.281,Paramount-Cruise/Wagner Productions,2000-05-24,18.643824295266576,123.0,Released,Expect the impossible again.,6.1,6252.0,dying and death-island-cia-helicopter-computer-spain-undercover-skyscraper-secret mission-spy-secret identity-ex-lover-secret agent-duel-lethal virus-rescue team-agent-research laboratory,0.0,United States of America,English,23.7411,2.1054,4.7562,PG-13,20.118861866220854
Shanghai Noon,Adventure-Action-Comedy-Western,en,Chon Wang a clumsy imperial guard trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada where he teams up with an unlikely partner outcast outlaw Roy O'Bannon and tries to spring the princess from her imprisonment.,23.8,Spyglass Entertainment-Roger Birnbaum Productions-Touchstone Pictures,2000-05-26,17.822843743196746,110.0,Released,The old west meets the far east.,6.4,2194.0,martial arts-princess-sioux-travel-rescue-native american-chinese-cowboy-duringcreditsstinger-19th century-action hero-good versus evil,0.0,"Hong Kong, United States of America","English, Mandarin, Spanish",23.5782,5.0241,5.9235,PG-13,18.41339896604247
Big Momma's House,Crime-Comedy,en,When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito.,32.583,"Regency Enterprises, 20th Century Fox",2000-05-31,17.216707939626428,98.0,Released,This FBI agent is going undercover... and he's concealing more than a weapon.,5.805,2002.0,undercover-fbi-disguise-impersonation,0.0,"Germany, United States of America",English,2.7692,3.1051,3.8648,PG-13,18.97433271506076
Gone in Sixty Seconds,Action-Crime-Thriller,en,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",31.02,Jerry Bruckheimer Films-Touchstone Pictures,2000-06-09,18.31532022829454,118.0,Released,"Ice Cold, Hot Wired.",6.391,3807.0,sibling relationship-california-detective-car race-car thief-blackmail-brother-remake-heist-betrayal-organized crime-shootout-police chase-explosion-lock pick-stakeout-illegal drugs-stolen cars-action hero-ford mustang-blacklight,0.0,United States of America,English,7.2294,3.048,10.3133,PG-13,19.284423917283707
Shaft,Action-Adventure-Crime-Thriller,en,New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears and Wade jumps bail for Switzerland. Two years later Wade returns to face trial confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.,19.192,Paramount-Scott Rudin Productions-New Deal Productions-Munich Film Partners & Company (MFP) GHS Productions-Shaft Productions,2000-06-15,17.64415195445337,99.0,Released,"Still the man, any questions?",6.0,1091.0,new york city-sibling relationship-corruption-italian american-based on novel or book-drug dealer-remake-revenge-murder-drugs-police officer-xenophobia-lucifer morningstar-african american,0.0,"Germany, United States of America","English, Spanish, German",7.3181,1.6358,2.9211,R,18.49417397361921
Titan A.E.,Animation-Action-Science Fiction-Family-Adventure,en,A young man finds out that he holds the key to restoring hope and ensuring survival for the human race while an alien species called the Drej are bent on mankind's destruction.,19.759,20th Century Fox-David Kirschner Productions-Fox Animation Studios,2000-06-16,18.132998671500584,94.0,Released,"When Earth Ends, The Adventure Begins.",6.609,916.0,monster-galaxy-dystopia-space-alien-mission,0.0,United States of America,"English, Mandarin",9.0895,3.4115,6.4361,PG,17.41977487091188
Poor White Trash,Crime-Comedy,en,Mike and Lenny are two buddies who dream of getting out of the trailer park. Out of desperation they resort to burglary as a means of financing Mike's college education. Their dream is jeopardized one summer day when their ploy to shoplift Near Beer begins a crime spree and a series of mishaps during which they are threatened with jail.,1.966,Kingsize Entertainment,2000-06-16,13.997832114758229,85.0,Released,Crime pays... just not enough,4.2,12.0,sheriff-college-ambition-bikini-burglary-theft-trailer-temptation,0.0,United States of America,English,4.1156,1.3807,2.6583,R,7.247080584585756
Amores Perros,Drama-Thriller,es,A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel a young man wanting to run off with his sister-in-law and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.,23.144,Altavista Films-Zeta Film,2000-06-16,14.508657738524219,154.0,Released,Love. Betrayal. Death.,7.6,2553.0,daughter-secret love-homeless person-mexico city mexico-money-dog fighting-dog-nonlinear timeline-multiple storylines-new mexican cinema,0.0,Mexico,Spanish,0.8304,2.6031,0.5357,R,16.85566475451347
Boys and Girls,Comedy-Drama-Romance,en,Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds they disliked one another. When they met again as teenagers they loathed each other. But when they meet in college the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops.,12.992,Dimension Films-Punch 21 Productions,2000-06-16,16.588099280204055,94.0,Released,Warning: Sex Changes Everything,6.0,351.0,soulmates-new love-platonic love-college-lovers-girlfriend-model student-friendship-motherly love-university-relationship,0.0,United States of America,English,3.2159,3.5517,2.3721,PG-13,16.842129489632935
